ft,bt,km,transmission,oem,modelYear,price,Insurance Validity,Seats,Ownership,Engine Displacement,Mileage,Max Power,City,Car age
Diesel,SUV,35000,Automatic,RENAULT,2016,925000,Comprehensive,5 Seats,Second Owner,1461,19.6,108.45,Bangalore,9
Petrol,Sedan,51116,Automatic,HONDA,2019,1024000,Comprehensive,5 Seats,Second Owner,1497,18,117.6,Bangalore,6
Diesel,Sedan,80000,Manual,SKODA,2016,500000,Third Party,5 Seats,Third Owner,1498,21.14,103.52,Bangalore,9
Petrol,Hatchback,40000,Automatic,VOLKSWAGEN,2017,995000,Third Party,5 Seats,Second Owner,1197,17.21,103.5,Bangalore,8
Petrol,SUV,85565,Automatic,HONDA,2012,935000,Comprehensive,5 Seats,Second Owner,2354,11.1,158.8,Bangalore,13
Petrol,SUV,36916,Manual,FORD,2018,834000,Comprehensive,5 Seats,First Owner,1497,17,121.36,Bangalore,7
Diesel,Hatchback,90000,Manual,VOLKSWAGEN,2015,560000,Third Party,5 Seats,First Owner,1498,20.14,88.8,Bangalore,10
Petrol,Hatchback,112795,Manual,MARUTI,2012,454000,Comprehensive,5 Seats,First Owner,1197,22.38,88.5,Bangalore,13
Petrol,Sedan,11000,Automatic,MERCEDES-BENZ,2021,3690000,Comprehensive,5 Seats,First Owner,1332,19.6741457,160.92,Bangalore,4
Petrol,MUV,120000,Manual,TOYOTA,2014,1100000,Third Party,7 Seats,Second Owner,1998,11.4,130.1,Bangalore,11
Petrol,Hatchback,36685,Manual,HONDA,2016,462000,Comprehensive,5 Seats,Second Owner,1198,19.4,86.8,Bangalore,9
Diesel,SUV,120000,Automatic,HYUNDAI,2012,900000,Third Party,7 Seats,Second Owner,2199,11.72,194.3,Bangalore,13
Petrol,Sedan,4000,Automatic,BMW,2022,7900000,Comprehensive,4 Seats,First Owner,1998,13.32,254.79,Bangalore,3
Petrol,Hatchback,32184,Automatic,MARUTI,2019,843000,Third Party,5 Seats,Second Owner,1197,21.4,83.1,Bangalore,6
Petrol,Hatchback,32279,Manual,MARUTI,2018,799000,Comprehensive,5 Seats,First Owner,998,21.1,100.5,Bangalore,7
Petrol,Hatchback,59698,Manual,HYUNDAI,2015,576000,Comprehensive,5 Seats,First Owner,1197,18.6,81.83,Bangalore,10
Diesel,SUV,46071,Manual,RENAULT,2018,949000,Comprehensive,5 Seats,First Owner,1461,20.37,108.45,Bangalore,7
Diesel,SUV,90000,Manual,MARUTI,2017,795000,Third Party,5 Seats,First Owner,1248,24.3,88.5,Bangalore,8
Petrol,SUV,9554,Manual,HYUNDAI,2019,1085000,Third Party,5 Seats,First Owner,998,18.27,118.35,Bangalore,6
Petrol,SUV,14000,Automatic,JEEP,2022,2590000,Comprehensive,5 Seats,First Owner,1368,14.1,160.77,Bangalore,3
Diesel,SUV,74499,Manual,RENAULT,2013,516000,Third Party,5 Seats,Second Owner,1461,20.45,83.8,Bangalore,12
Petrol,SUV,56211,Automatic,FORD,2017,777000,Comprehensive,5 Seats,Second Owner,1497,14.8,121.36,Bangalore,8
Petrol,Hatchback,9001,Manual,HONDA,2019,753000,Comprehensive,5 Seats,First Owner,1199,18.2,88.7,Bangalore,6
Diesel,SUV,65457,Automatic,MAHINDRA,2017,1226000,Third Party,7 Seats,Second Owner,1997,16,140,Bangalore,8
Petrol,Hatchback,23682,Manual,HONDA,2017,725000,Comprehensive,5 Seats,First Owner,1199,18.7,88.7,Bangalore,8
Diesel,Sedan,50000,Manual,HYUNDAI,2020,1150000,Third Party,5 Seats,First Owner,1582,22,126.2,Bangalore,5
Diesel,Hatchback,134557,Manual,MARUTI,2015,629000,Comprehensive,5 Seats,Second Owner,1248,25.2,74,Bangalore,10
Petrol,Sedan,96567,Manual,MARUTI,2013,447000,Comprehensive,5 Seats,Second Owner,1197,22.41,88.5,Bangalore,12
Petrol,Hatchback,120000,Manual,MARUTI,2015,400000,Third Party,5 Seats,Third Owner,998,23.1,67.04,Bangalore,10
Diesel,MUV,83007,Manual,MARUTI,2014,786000,Comprehensive,7 Seats,Second Owner,1248,20.77,88.8,Bangalore,11
Petrol,Hatchback,34000,Manual,HONDA,2018,745000,Comprehensive,5 Seats,First Owner,1199,18.7,88.7,Bangalore,7
Petrol,Hatchback,81634,Automatic,HYUNDAI,2014,490000,Comprehensive,5 Seats,First Owner,1197,18.9,82,Bangalore,11
Petrol,Sedan,57284,Automatic,HONDA,2017,942000,Comprehensive,5 Seats,Second Owner,1497,18,117.6,Bangalore,8
Petrol,SUV,70000,Automatic,FORD,2016,675000,Third Party,5 Seats,Second Owner,1499,15.63,110.4,Bangalore,9
Petrol,Hatchback,70000,Manual,HONDA,2013,330000,Third Party,5 Seats,Second Owner,1198,19.4,86.8,Bangalore,12
Petrol,Sedan,46429,Automatic,TOYOTA,2018,875000,Third Party,5 Seats,Second Owner,1496,17.8,105.5,Bangalore,7
Petrol,Hatchback,17624,Manual,MARUTI,2017,869000,Comprehensive,5 Seats,First Owner,1197,21.4,83.1,Bangalore,8
Diesel,Sedan,100000,Manual,VOLKSWAGEN,2012,425000,Third Party,5 Seats,Second Owner,1598,20.54,103.6,Bangalore,13
Petrol,Sedan,30000,Manual,HONDA,2019,1070000,Third Party,5 Seats,First Owner,1497,17.4,117.6,Bangalore,6
Petrol,SUV,49690,Manual,FORD,2018,1025000,Third Party,5 Seats,Second Owner,1496,15.9,120.69,Bangalore,7
Diesel,SUV,110000,Manual,MAHINDRA,2016,1000000,Third Party,7 Seats,First Owner,2179,16,140,Bangalore,9
Petrol,Sedan,50000,Manual,FIAT,2009,375000,Third Party,5 Seats,First Owner,1368,16,88.76,Bangalore,16
Petrol,Sedan,50000,Manual,FIAT,2009,375000,Third Party,5 Seats,First Owner,1368,16,88.76,Bangalore,16
Petrol,SUV,55702,Automatic,FORD,2018,844000,Comprehensive,5 Seats,First Owner,1497,14.8,121.36,Bangalore,7
Diesel,Hatchback,45046,Manual,HYUNDAI,2016,764000,Third Party,5 Seats,First Owner,1396,21.19,88.73,Bangalore,9
Petrol,Hatchback,53000,Manual,MARUTI,2014,420000,Third Party,5 Seats,Second Owner,1197,18.5,85.8,Bangalore,11
Diesel,Hatchback,94695,Manual,MARUTI,2016,684000,Third Party,5 Seats,First Owner,1248,27.39,74,Bangalore,9
Petrol,Hatchback,22162,Manual,MARUTI,2019,803000,Zero Dep,5 Seats,First Owner,1197,21.4,83.1,Bangalore,6
Petrol,Hatchback,70000,Manual,HYUNDAI,2010,320000,Third Party,5 Seats,Second Owner,1086,17.92,62.1,Bangalore,15
Diesel,Sedan,115331,Manual,HONDA,2017,804000,Comprehensive,5 Seats,First Owner,1498,26,98.6,Bangalore,8
Diesel,Sedan,70000,Automatic,MERCEDES-BENZ,2013,1400000,Third Party,5 Seats,Second Owner,2148,10,170,Bangalore,12
